IPC,priorityCountryRegion
C12G1/02 | C10B53/06,WO | TR | TR
E21B43/24 | E21B43/243,CZ
C09K8/035 | C08F222/38 | C09K8/24,CN
C02F1/52 | C02F1/58,AU
C02F1/52 | C02F1/58,AU
C07C29/151 | C07C31/04,US | US
C07C29/151 | C07C31/04,US | US
C07C29/151 | C07C31/04,US | US
C07C29/151 | C07C31/04,US | US
C07C29/151 | C07C31/04,US | US
C07C29/151 | C07C31/04,US | US
E21B43/25 | C09K8/594 | C09K8/94 | E21B43/00 | E21B43/12 | E21B43/16 | E21B43/38,AU | AU
C10B53/06 | C10B47/20 | C10G1/02 | C10G1/06,EP
C10B53/06 | C10B47/20 | C10G1/02 | C10G1/06,EP
E21B43/243,PL
E21B43/243,PL
C10G1/02 | C10G19/073,US
C10G1/02 | C10G19/073,US
-,PL
E21B43/243,PL
E21B43/243,PL
C10G1/02 | C10G1/00,US
E21B43/16 | E21B43/24 | E21B34/06 | E21B33/122 | E21B23/06 | E21B19/22 | E21B17/20 | C09K8/594 | E21B47/06 | C09K8/592,CZ
G01V5/04 | G06F19/00 | G01V3/18,-
G01V5/00 | G01V5/04 | G01N15/08,-
E21B49/00 | E21B49/06 | G06F17/11 | E21B43/26,-
G06F17/50 | E21B49/00,-
C25B1/26 | C01B7/07 | C25B9/10 | C25B1/02 | B01D5/00 | C25B9/23,AU
C01B7/03 | C01B7/07 | C25B1/46 | C25B1/02 | C25B1/26 | C25B15/08 | B01D5/00 | C25B9/10 | C25B9/23,AU
C01B3/34 | C10J3/82,US
B01J8/06 | B01J8/00 | B01J3/00 | C01B3/34 | C10J3/82,US
C10K1/06 | C10K3/04 | C01B3/38 | C10J3/00,US
C10K1/06 | C01B3/38 | C10J3/00 | C10K3/04,US
C10K1/06 | C10K3/04 | C01B3/38 | C10J3/00,US
C10K1/06 | C01B3/38 | C10J3/00 | C10K3/04,US
G01V1/36,-
G01N23/2251 | G01N15/08 | G01N33/24,CN
B01D53/78 | B01D53/50,CN
C10G1/00 | C10G1/02,-
G05B19/042,CN
E21B43/17,-
C10G1/02 | C10G1/00,-
E21B43/26 | E21B43/14 | E21B33/127,EP
G01V3/38 | G01V3/32,US
G01V3/38 | G01V3/32 | G01R33/44,US
E21B49/00,-
E21B43/24,US | US
G06F19/00,US
G06F19/00,US
G01V11/00 | G06F19/00,US
G06F19/00,US
G01V11/00,US
E21B43/16 | E21B47/10,CZ
E21B43/16 | E21B43/22 | E21B43/24 | E21B47/06 | E21B47/10,CZ
G06F30/27 | E21B43/12,CN
G06N3/08 | G06N3/04,KR
G06F19/00,US
E21B47/06 | E21B47/10,-
C25B1/00 | C01B7/03 | C25B9/23,AU
C25B1/00 | C01B7/03 | C25B9/23,AU
C25B1/00 | C01B7/03 | C25B9/23,AU
C01B7/03 | C25B1/00 | C25B9/23,AU
C25B1/00 | C01B7/03 | C25B9/23,AU
C01B7/03 | C25B1/00 | C25B9/23,AU
C25B1/26 | C25B1/46 | C25B9/10 | C25B15/08 | C25B1/02 | C01B7/03 | C25B9/23,AU
C01B | C25B,AU
F25J1/02 | F25J1/00 | F25J3/02,-
G01N23/207 | E21B49/08 | G01N33/24,KR
E21B43/263 | E21B43/247,CN
G06Q50/02 | G06Q10/04 | G06N3/08 | G06Q10/06,KR
E21B,-
C10G1/02 | C10G1/00,-
C07C29/12 | C07C31/20 | C07C303/24 | C07C305/10 | C07D327/10,-
C07C29/12 | C07C31/20 | C07C303/24 | C07C305/10 | C07D327/10,EP
C09K17/40 | C05G3/80,PL
E21B43/26 | E21B43/14 | E21B34/14 | E21B33/127,EP
E21B43/26 | E21B43/14 | E21B34/14 | E21B33/127,EP
E21B43/26 | E21B43/14 | E21B34/14 | E21B33/127,EP
C09K8/68 | C08F265/10 | E21B43/26,CN
E21B43/30,CN
C07C | C10G,US | CN | CN | CN | CN | CN | CN | CN
E21B15/00 | E21B7/02,US
-,US
G01N21/65 | E21B49/00,US | US
G01N21/00 | G01V8/02 | E21B49/00 | E21B47/10 | G01V8/00 | E21B49/08 | G01N21/65 | E21B47/00,US | US
E21B47/00 | G01V3/32 | G01R33/44,US
G06F19/00 | G01V1/30,GB
C09K8/62 | E21B43/26 | E21B43/267 | C09K8/80,JP | JP
G01N15/08 | E21B49/02 | G01N33/24,CN
G01N15/08 | E21B49/02 | G01N33/24 | E21B43/26,CN
C01B3/40 | B01J23/34 | C07C2/84 | C07C5/48,US
G01V1/00 | G01V3/02 | G01S13/00 | G01V3/00,US
E21B49/00 | E21B43/12,-
E21B43/12 | E21B43/16 | E21B49/00 | G01N7/10 | G01N15/08 | E21B49/02,-
E21B43/16,US
C05G3/04 | C05D9/00 | B09B1/00 | B09C1/00 | C05G3/80,PL
G01N15/08 | G01V99/00 | E21B43/12 | E21B43/26 | G06F9/455 | G06G7/48,US
G06F17/50 | G06G7/00 | G01N15/08 | G06G7/48 | G06F9/455 | G01V99/00 | E21B43/26 | E21B43/12 | E21B43/00,US
E21B41/00,US | US
E21B43/26 | E21B43/24,US
E21B49/06 | E21B49/00 | G01N33/24,CN
E21B49/06 | E21B49/00 | G01N33/24,CN
E21B41/00 | E21B49/02 | G06F17/30 | C12Q1/64,NL
C12Q1/64 | G06F16/29 | E21B41/00 | G06F16/951 | E21B49/02 | E21B43/26,NL
C10L3/10 | C01B17/04,-
B01D53/14 | C10L3/10 | C01B17/04,-
F25J1/00 | F25J1/02,US
F25J1/00 | F25J1/02,US
F25J1/00 | F25J1/02,US
E21B49/00,-
E21B41/00,CN
G01V9/00 | G01N33/18,-
E21B43/26 | E21B43/24 | E21B36/00,DE
E21B43/26,DE
G01N1/22 | G01N33/22 | G01N1/24,KR
E21B43/24 | E21B43/247 | E21B43/26,US
G01N33/28 | G01N21/64,-
G01N33/28 | G01N21/64,-
E21B49/00 | E21D21/00,CN
C09K8/68,US
G06F19/00,-
C10G1/02 | C10B49/10 | C10B53/06 | C10K1/04,-
C25B1/23 | C25B9/70 | C25B15/021 | C25B9/19 | C25B3/25,US
C25B1/23 | C25B3/03 | C25B3/26 | C25B15/021 | C25B9/70 | C25B9/19,US
E21B47/00,-
G01V11/00,-
E21B43/24,US | US
E21B41/00 | E21B43/26 | E21B43/30,US | US
C04B7/14,US
G06Q50/00 | F23K5/00 | F23J15/00 | F27D9/00 | E21C41/26 | A62D3/00 | B01D53/56 | E21B43/26 | B65G5/00 | E21B43/16 | C02F1/66,US
G01V1/30,GB
G01V1/30,GB
G01V1/30,GB
G01V1/30,GB
E21B43/26,US | US | US
G01V1/30,GB
G01V1/30,GB | WO
G01V1/30,GB | WO
E21B43/267 | C09K8/88 | E21B43/26 | C09K8/62 | C09K8/68 | C09K8/80,JP | JP
C01B3/38 | C07C11/04 | C07C5/48 | C07C2/84,US
C01B3/38 | C07C11/04 | C07C5/48 | C07C2/84,US
G01V1/28,US | US
G01V11/00 | E21B43/00,US | US
B01D53/78 | B01D53/50 | B01D53/52 | B01D53/14 | B01D53/40,CN
C10G1/02 | C10G1/00,-
G01N15/08 | E21B49/02,US
B01D53/62 | B01D53/79,US
C07C4/04 | C07C5/327 | C07C2/80,US
B01J31/16 | C10L3/10 | B01D53/04,EP
B01J20/22 | B01J20/28 | B01D53/02 | B01J20/30 | C10L3/10 | B01J20/02 | B01D53/04 | B01J31/16,EP
G01V1/28 | G06F17/50,US | US
G01V1/28 | G06F17/50,US | US
G06F9/455 | E21B47/00 | E21B49/00,US
G01N24/08,-
G01N24/08 | G01R33/44 | G01V3/32,-
C02F1/42 | B01J41/14 | B01D15/36,US
C02F1/42 | B01D15/36 | C02F5/02 | C02F9/00 | B01J41/14 | C02F101/00 | C02F101/10 | C02F101/20 | C02F103/10,US
B01D71/02 | B01D53/04 | B01D53/047 | B01D53/22 | B01D69/08 | B01J20/22 | B01J20/28 | C01B13/02 | C01B21/04 | C01B23/00 | C10L3/10,KR
B01D53/04 | B01J20/28 | C01B23/00 | C01B21/04 | C01B13/02 | B01D53/22 | B01D53/047 | B01D53/02 | B01J20/22 | C10L3/10,KR
E21B43/16,-
G06N5/022 | G06N3/08,CN
C12Q1/64 | G06F19/00,NL
C12Q1/64 | G06F19/00,NL
B01D53/14 | B01D53/40,US
B01D53/14 | B01D53/40,US
C10G70/06 | C10G70/04 | C10G5/04 | C10G5/06 | F25J3/06 | B01D53/00 | B01D53/14 | B01D53/18,CN | CN
C07C29/00 | B01J19/00,US
E21B43/26 | E21B43/267 | E21B43/263,US | US
E21B43/26 | E21B43/30,US | US
C09K8/68 | C09K8/035 | C09K8/584 | C09K8/60,US | US
E21B43/22 | C09K8/584,US | US
C09K8/035 | C09K8/584 | C09K8/60 | C09K8/68 | C10G1/04,US | US
C09K8/035 | C09K8/68 | C09K8/584 | C09K8/60,US | US
E21B43/16 | E21B43/25 | E21B43/26,US
E21B43/32 | E21B43/295,US
E21B43/32 | E21B43/295 | E21B47/00 | E21B49/00 | G01V11/00,US
E21B43/32 | E21B43/295,US
E21B43/32 | E21B43/295 | E21B47/00 | E21B49/00 | G01V11/00,US
G01N33/22 | G01N9/36 | G01N9/00,-
G01N33/22 | G01N9/36 | G01N9/00,-
G01N33/22 | G01N9/36 | G01N9/00,-
G01N33/22 | G01N9/36 | G01N9/00,-
G01N33/22 | G01N9/36,-
C25B3/26 | C25B3/03 | C25B9/19 | C25B9/70 | C07C5/48 | C01B3/24 | C01B3/34 | C07C5/00 | C25B3/25,US
G01V3/32 | E21B49/00 | E21B49/02 | E21B49/08,-
G06F19/00 | G01N33/28 | G01N33/26,US
G01N33/28 | G06F19/00,US
G06F19/00 | G01N33/28,US
C21B5/00 | C21B7/16 | F27D3/18 | F27B1/16 | F27D3/16,JP
C10G29/04 | C10G29/20 | C10G50/00,US | US
C10G1/04 | C09K8/035 | C09K8/584 | C09K8/60 | C09K8/68,US | US
C01B3/02 | C01B31/20 | C10J3/46 | C01B32/50,US
C09K8/68 | C09K8/60 | C09K8/72,-
C09K8/68 | C09K8/72 | E21B43/26 | C09K8/60 | C09K8/62,-
G01V1/28,-
C07C2/80 | C01B3/38 | C07C2/76,-
C07C2/80 | C01B3/38 | C07C2/76 | H01M8/0606 | H01M8/0612 | H01M8/0637 | H01M8/0662 | H01M8/04089 | H01M8/124 | H01M8/12,-
C05B7/00 | C05F7/00,-
E21B49/00 | E21B43/26,-
E21B49/00 | E21B21/06 | E21B49/08 | E21B43/26,-
C01B3/24 | C01B3/34 | C07C5/00 | C25B3/04 | C25B9/18 | C25B3/25,US
B01D37/00 | E21B43/26 | C02F1/66 | C02F9/00 | E21B21/06 | C02F1/72 | C02F1/46 | C02F1/44 | C02F1/28 | C02F1/04 | C02F1/467 | C02F101/20 | C02F101/30 | C02F103/10,US
E21B43/34 | E21B21/06,US
C02F9/00 | C02F1/28 | C02F1/04 | C02F1/44 | C02F1/66 | B01J20/20 | E21B43/40 | E21B43/26 | E21B41/00 | C02F1/72 | C02F1/467 | C02F101/00 | C02F101/20 | C02F101/30 | C02F103/10,US
E21B43/26,US
E21B43/26 | E21B43/267,US
C10G69/02,US
C10G63/00 | C10G59/02 | C10G69/02 | C10G63/02 | C10G69/10 | C10G69/08,US
C02F1/44 | B01D61/36 | B01D9/00 | B01D71/02 | B01D69/02 | B01D61/58 | B01D63/08 | B01D71/34 | B01D71/36 | B01D71/52,IN | US
F25J1/00 | F25J1/02,US
F25J1/00 | F25J1/02,US
C07C29/151 | C10G2/00 | C10L3/08 | C01B3/38 | C07C1/04,DK
C07C29/151 | C10G2/00 | C07C1/04 | C10L3/08 | C01B3/38 | C01B3/50,DK
C09K8/16 | C09K8/20,CN
C09K8/68,-
E21B43/263 | E21B43/26,KR | KR
E21B43/26,CN
E21B7/04,CN | CN
G06F17/00 | E21B43/30,CN
B65D | E21B | G01N,-
B65D | E21B | G01N,-
G01N21/59,US
G01N21/59,US
E21B43/26 | E21B43/30,US | US | US
F04D1/06 | E21B43/26 | F04D29/16 | F04D29/42,US | US | US
E21B43/26 | E21B43/30,US | US | US
G01V1/30,GB
G01V1/30,GB
C08G73/10 | C09K8/035,-
C21D8/10 | C21D9/08 | C22C38/58 | C22C38/50 | C22C38/48 | F16L9/17 | C22C38/44 | C22C38/42 | C22C38/04 | C22C38/06 | C22C38/00 | C22C38/02 | C21D8/02 | C22C38/46,-
C21D8/10 | C22C38/28 | C22C38/16 | C22C38/06 | C22C38/08 | C21D8/04 | C22C38/26 | C22C38/46 | C22C38/44 | C22C38/42 | C22C38/04 | C22C38/02 | C22C38/00 | C21D8/02 | C22C38/12 | C22C38/38 | C22C38/14 | C22C38/50 | C22C38/48 | C21D9/08 | C22C38/58 | F16L9/17 | B23K35/30 | C21D9/50,-
E21B33/127 | E21B43/14 | E21B34/14 | E21B43/26,EP
G01V1/50,CN
C12Q1/64 | G06F17/30 | E21B41/00 | E21B49/02,NL
C07C5/327 | B01J19/00 | B01J19/24,US
C07C5/327 | B01J19/00 | B01J19/24,US
C07C5/327 | B01J19/00 | B01J19/24,US
E21B43/26 | E21B43/267 | E21B43/16 | E21B43/02,CN
C09K8/588 | E21B43/26 | C09K8/035,JP
C09K8/588 | C08L67/04 | C09K8/035 | C09K8/88 | E21B43/26 | C09K8/508 | C09K8/68,JP
G01V1/30 | G01V1/28,CN
G01V1/30,CN
B01D53/78 | B01D53/50 | B01D53/48 | C10L3/10,CN
B01D53/78 | B01D53/50 | B01D53/48 | C10L3/10,CN
B01D53/48 | B01D53/86 | C10L9/10,US
B01D53/48 | B01D53/86 | C10L9/10,US
B01D53/48 | B01D53/86 | C10L9/10,US
B01D53/48 | B01D53/86 | C10L9/10,US
B01D53/48 | B01D53/86 | C10L9/10,US
B01D53/48 | B01D53/86 | C10L9/10,US
C09K8/42 | E21B33/13,-
C09K8/487 | E21B33/14 | C04B28/04,-
E21B33/14 | C04B28/02 | C09K8/467 | C09K8/487 | C04B28/04 | C04B111/00,-
E21B43/26 | E21B43/00 | E21B43/24 | E21B43/16 | E21B47/00,US
E21B43/26 | E21B7/15 | E21B43/00 | E21B33/124 | E21B43/24 | E21B43/16,US
C09K8/86 | E21B43/26 | E21B43/25 | E21B37/06 | E21B37/00 | E21B21/00 | C09K8/92 | E21B43/267 | C09K8/68,US | US | US | US | US
C09K8/86 | E21B37/06 | C09K8/60 | E21B43/26 | C09K8/92 | E21B37/00 | E21B43/25 | E21B21/00 | E21B43/267 | C09K8/68 | C09K8/524,US | US | US | US | US
C10L3/10 | B01D53/52 | B01D53/78 | B01D53/96,CA
F25J1/02 | F25J3/02 | F25J1/00,-
F25J1/02 | F25J3/02 | F25J1/00,-
F25J3/02 | F25J1/02 | F25J1/00,-
C07C27/06,-
G05B19/418,-
C07C17/093 | C07C17/154 | C07C17/158 | C07C29/58 | C07C31/04 | C07C31/08,US
G01V5/08,-
C10B53/06 | F23G7/06 | C10B57/16 | F23G5/12 | C10B47/04 | C10B27/06,WO | TR | TR
F04B39/00 | F04B39/12,CN
C10G69/08 | C10G69/10 | C10G59/02 | C10G63/02,US
C10G69/08 | C10G69/10 | C10G59/02 | C10G63/02,US
B01J2/02 | B01J20/22 | B01J20/28 | B01J20/30,EP
B01J2/02 | B01J20/22 | B01J20/28 | B01J20/30,EP
F04B53/16 | F04B1/00,CN
C07C29/151 | C07C31/04,US | US
E21B43/30,US
E21B43/30,US
E21B43/30,US
E21B47/14,-
B01D53/22,-
C07C2/00 | C10J3/00 | C10G3/00 | C10L1/04,US
C07C2/00 | C10G3/00 | C10J3/00 | C10L1/04,US
C07C2/00 | C10J3/00 | C10G3/00 | C10L1/04,US
C07C2/00 | C10J3/00 | C10G3/00 | C10L1/04,US
E21B43/26,US | US
E21B43/26,US | US
E21B43/26,US | US
E21B43/26,US | US
E21B28/00 | E21B43/24 | E21B43/241,-
B01D15/04 | C02F1/52 | C02F1/44 | C02F1/20 | C02F1/00 | C02F1/54 | C02F9/00 | B01D15/00,-
C10G15/10,US | US | US
G01N15/08 | G01F1/58,KR | KR | KR | KR
G01N15/08,KR | KR | KR | KR
E21B43/26,FR
E21B43/26 | F23Q3/00 | E21B36/04 | E21B43/00,FR
G01V3/32 | G01N24/08 | G01R33/38,US
G01V3/32 | G01N24/08 | G01R33/38,US
G01V3/32 | G01N24/08 | G01R33/38,US
B01J2/06 | B01J2/14 | B01J20/22 | B01J20/28 | B01J20/30,EP
-,US
C04B18/02 | C04B33/132 | C04B33/135 | C04B35/626 | C09K8/80,US
C04B18/02 | C04B33/132 | C04B33/135 | C04B35/626 | C09K8/80,US
C04B18/02 | C04B33/132 | C04B33/135 | C04B35/626 | C09K8/80,US
C04B18/02 | C04B33/132 | C04B33/135 | C04B35/626 | C09K8/80,US
C04B18/02 | C04B33/132 | C04B33/135 | C04B35/626 | C09K8/80,US
G01V1/36,-
G01V1/36,-
G01V1/36,-
C12Q1/04 | C12Q1/64 | C12Q1/689 | C09K8/52 | E21B41/00 | E21B49/08,US
E21B47/107 | E21B47/14,CN
E21B47/107 | E21B47/14,CN
C10G11/02 | B01J19/00,US
C07C29/154,EP
E21B7/04 | E21B43/12 | E21B7/08 | E21B21/00 | E21B41/00 | E21B43/00 | E21B43/32 | E21B43/38 | E21B43/40,US | US
E21B7/08 | E21B21/00 | E21B41/00 | E21B43/00 | E21B43/32 | E21B43/38 | E21B43/40,-
E21B43/00 | E21B43/34 | E21B41/00 | E21B43/38 | E21B43/40 | E21B21/00 | E21B7/04 | E21B43/12,US
E21B21/00 | E21B41/00 | E21B43/00 | E21B43/38 | E21B43/40,US | US
E21B43/267 | C04B28/04 | C09K8/14 | C09K8/46,US
F24T10/17 | F24T10/15 | E21B43/00,-
E21B49/08 | E21B49/00,US
E21B49/08 | E21B49/00,US
E21B49/00 | E21B49/08,US
C09K8/68 | C08L33/10 | C08L39/02 | C08L33/08 | C01D3/04 | C01D5/00,-
C09K8/68 | C08L39/02 | C08L33/10 | C08L33/08 | C01D5/00 | C01D3/04,-
C07C67/39 | C07C29/151 | C01B3/38,US
C10L3/00 | F02D19/06 | C10L3/06 | F02D19/08 | C10K3/06 | C10L1/185 | C01B3/34 | C07C41/01 | F02B7/06,DE
E21B49/00,-
E21B49/00,-
E21B43/26,US
F28D20/00 | E21B36/00 | E21B43/24 | F24T10/13 | F24T10/40,GB
G01V3/00,US
C10G59/02 | C10G63/02 | C10G69/08 | C10G69/10,US
C10G69/08 | C10G69/10 | C10G59/02 | C10G63/02,US
C10G59/02 | C10G63/02 | C10G69/08 | C10G69/10,US
G06N5/022 | G06N3/08,CN
C02F1/04 | B01D61/36 | B01D63/08 | B01D69/06,IN | US
C02F1/04 | B01D61/36 | B01D63/08 | B01D69/06,IN | US
C02F1/04 | B01D61/36 | B01D63/08 | B01D69/06,IN | US
C02F1/04 | B01D61/36 | B01D63/08 | B01D69/06,IN | US
