IPC,priorityCountryRegion
E21B43/08 | E21B43/38 | E21B43/01 | E21B43/30 | E21B43/28,WO
C07C5/00 | C07C7/00 | C07C45/00 | C07C67/03 | C08F236/00 | C08F236/08,US | US | US | US | US | US | US
G01V9/00 | E21B25/00 | E21B47/10 | G01N33/24,US | US
F23C13/00 | F23D14/02 | F23D99/00 | F23C6/04 | B01J4/00 | F23C5/06,US
C07D493/08 | C07C45/57 | C07D307/40 | C07H1/00,AU
C09K8/584 | C09K8/588 | E21B43/16,US
G16C20/30 | G16C20/00 | G16C60/00 | C09K8/588 | E21B43/22,US
E21B43/295 | E21B33/12 | E21B43/01 | E21B43/08 | E21B43/10 | E21B43/28 | E21B43/30 | E21B43/38,WO
E21B49/00 | G06F17/18,US
E21B43/26 | E21B28/00 | E21B43/00 | E21B43/267,US | US
H02J3/38 | E21B36/00 | E21B43/24 | G06F1/32 | H01M8/14 | H02J3/40 | H02J9/00,US
B01J23/22 | B01J21/04 | B01J21/08 | B01J37/02 | B01J35/02 | C07C45/33 | C07C47/04,KR
C08G63/12 | C09K8/12 | E21B43/34,JP
E21B44/00,-
E21B43/26 | E21B43/267 | E21B28/00 | E21B43/00,US | US
C22B1/20 | F27B21/08,-
B01J21/04 | B01J21/06 | B01J21/08 | B01J23/10 | B01J23/20 | B01J23/72 | B01J27/14 | B01J29/04 | B01J29/08 | B01J29/18 | B01J29/40 | B01J29/70 | B01J37/00 | C07C41/01 | C07C41/09 | C07C43/04 | C10G3/00 | C10L1/185 | B01J35/02,EP
C07C5/00 | C07C7/00 | C07C45/00 | C07C67/03 | C08F236/00 | C08F236/08,US | US | US | US | US | US | US
B01J21/04 | B01J21/08 | B01J21/06 | B01J23/10 | B01J23/20 | B01J23/72 | B01J27/14 | B01J29/04 | B01J29/08 | B01J29/18 | B01J29/40 | B01J29/70 | B01J35/02 | B01J37/00 | C07C41/01 | C07C41/09 | C07C43/04 | C10L1/185 | C10G3/00,EP
C07C5/00 | C07C7/00 | C07C45/00 | C07C67/03 | C08F236/00 | C08F236/08,US | US | US | US | US | US | US
C09K8/52 | C09K8/592 | C09K8/62 | E21B43/24,US | US
G01N27/82 | B29C48/08 | B32B27/20 | B32B7/025 | G01N27/83,US
H02J3/38 | E21B36/00 | E21B43/24 | G06F1/32 | H01M8/14 | H02J3/40 | H02J9/00,US
B01D61/36 | B01D63/02 | B01D69/02 | B01D69/08 | B01D71/26 | B01D71/34 | B01D71/36 | B01D71/68,JP | JP
C12M1/04 | C12P7/06,JP
E21B29/02 | E21B43/26 | E21B43/263,US
H02J3/38 | E21B36/00 | E21B43/24 | G06F1/32 | H01M8/14 | H02J3/40 | H02J9/00,US
H02J3/38 | E21B36/00 | E21B43/24 | G06F1/32 | H01M8/14 | H02J3/40 | H02J9/00,US
H02J3/38 | E21B36/00 | E21B43/24 | G06F1/32 | H01M8/14 | H02J3/40 | H02J9/00,US
E21B44/00 | E21B43/16,US
B01D61/36 | B01D63/02 | C02F1/44,JP
B01D61/36 | B01D63/02 | C02F1/44,JP
E21B43/267 | C09K8/66,US
E21B21/00 | E21B7/00 | E21B21/08 | E21B36/00,US
B01J23/58 | B01J23/62 | C07C5/333,KR
E21B49/00,US
E21B33/10 | E21B33/13,US | CA
B01J21/04 | B01J21/08 | B01J21/06 | B01J23/10 | B01J23/20 | B01J23/72 | B01J27/14 | B01J29/04 | B01J29/08 | B01J29/18 | B01J29/40 | B01J29/70 | B01J35/02 | B01J37/00 | C07C41/01 | C07C41/09 | C07C43/04 | C10L1/185 | C10G3/00,EP
B01D61/36 | B01D63/02 | C02F1/44,JP
F23C13/00 | F23D14/02 | F23D99/00 | F23C6/04 | B01J4/00 | F23C5/06,US
E21B44/00 | E21B47/00,US
E21B41/00 | E21B47/26 | E21B43/267 | G06N20/00,US
C08F18/08 | C09K8/508 | E21B43/26,JP
C12M1/04 | C12P7/06,JP
E21B43/30 | E21B43/26 | E21B43/267 | E21B47/00 | G06Q10/04,US
G01N27/82 | B29C48/08 | B32B7/025 | B32B27/20 | G01N27/83,US
G01N27/82 | B29C48/08 | B32B7/025 | B32B27/20 | G01N27/83,US
C07C5/00 | C07C7/00 | C07C45/00 | C07C67/03 | C08F236/00 | C08F236/08,US | US | US | US | US | US | US
B01J29/40 | C01B33/26 | C01B39/40,US
B01D61/36 | B01D63/02 | C02F1/44,JP
C07C6/04 | C07C7/04 | C07C11/06 | B01D1/00 | B01D17/00 | C07C7/00 | B01D3/00,US
C08F18/08 | C09K8/508 | E21B43/26,JP
G06F1/32 | F02C3/22 | G06Q20/06 | G06Q20/08 | G06Q20/14 | G06Q20/36,US
G01N27/82 | B29C48/08 | B32B27/20 | B32B7/025 | G01N27/83,US
F25J3/00,US | US
B01D61/36 | B01D63/02 | B01D69/02 | B01D69/08 | B01D71/26 | B01D71/34 | B01D71/36 | B01D71/68,JP | JP
E21B44/00 | E21B43/30 | E21B47/00,US
B01D61/36 | B01D63/02 | C02F1/44,JP
B29C | B32B | G01N,US
G01N,-
E21B49/00,US
H01M8/04089 | H01M8/0438 | H01M8/04537 | H01M8/2465 | E21B41/00,CN
E21B49/00,US
C22C23/00 | C22C23/04 | C22C23/06 | E21B29/00 | E21B33/12,JP | JP
E21B49/00,US
C08G63/60 | C08G63/80 | C08G63/91 | C08G81/00 | C08L67/00,US
C22C23/00 | C22C23/04 | C22C23/06 | E21B29/00 | E21B33/12,JP | JP
E21B21/00 | E21B7/00 | E21B21/08 | E21B36/00,US
E21B43/00 | E21B43/12 | E21B43/34 | B09C1/00 | E21B47/10 | E21B41/00 | E21B43/17 | E21B43/18 | E21B43/30,AU
C07C5/00 | C07C7/00 | C07C45/00 | C07C67/03 | C08F236/00 | C08F236/08 | B01J21/04 | B01J21/06 | B01J23/00 | B01J23/20 | B01J23/34 | B01J37/28 | C07C1/24 | B01J29/40 | C07C27/00 | C07C67/00,US | US | US | US | US | US | US
B29C | B32B | G01N,US
C09K8/68 | C09K8/70 | C09K8/80,US
B01D61/36 | B01D63/02 | C02F1/44,JP
E21B43/30 | E21B43/26 | E21B43/267 | E21B47/00 | G06Q10/04,US
C07C6/04 | C07C7/04 | C07C11/06 | B01D1/00 | B01D17/00 | C07C7/00 | B01D3/00,US
G01N27/82 | B29C48/08 | B32B27/20 | B32B7/025 | G01N27/83,US
G01V99/00 | G01V3/32 | G01V1/40 | E21B47/12,US | US
E21B47/10 | C09K8/72 | C09K8/92 | E21B47/11,GB
C07D401/10 | A61K31/4725 | A61K31/496 | A61K31/4985 | A61K31/5377 | A61K31/5383 | A61P35/00 | C07D215/38 | C07D401/12 | C07D401/14 | C07D405/12 | C07D413/10 | C07D413/12 | C07D413/14 | C07D417/12 | C07D417/14 | C07D471/04 | C07D471/08 | C07D487/04 | C07D487/08 | C07D491/08 | C07D498/08,CN | CN
E21B23/06 | E21B33/12,US
G01N1/30 | G01N33/24 | G01N13/00,US
E21B21/06 | E21B43/26 | E21B21/01,US
E21B43/26 | C09K8/64,US | FR
F25J3/02 | F25J1/00 | F25J1/02,EP
C09K8/24 | C09K8/68 | C09K8/035 | C09K8/70 | C09K8/88 | C09K8/92,US
E21B47/00 | G01V1/40 | G01V1/50,US
B01D3/20 | B01D45/00 | B01D45/16 | B01D47/00 | B01D53/18 | B01J8/00 | C01B3/50 | C10L3/10 | F25J3/02,EP
E21B7/24 | E21B31/00,DK
C07C2/08 | B01J29/00 | C01B31/36 | C01B33/113,CN
C08L33/02 | C09K8/88 | C09K8/12 | C09K8/512,US
C10G50/00 | B01J29/70 | C07C2/00 | C07C9/14,US
E21B23/06 | E21B33/12,US
F25J3/02 | F25J1/00 | F25J1/02,EP
H01J49/00 | H01J49/42,US
C10L1/32,SE
E21B43/267 | C09K8/60 | E21B43/26,US
-,US
F01K23/10 | F22B1/18 | F22B35/00,-
E21B23/06 | E21B33/12,US
F16K1/12 | C09C1/50,US
H04B7/185,-
H02J3/06 | H02J3/00 | H02J3/14,ZA | ZA | ZA
E21B23/06 | E21B33/12,US
C12N1/21 | C12N15/52 | C12N15/53 | C12N15/60 | C12N9/00 | C12N9/02 | C12N9/88 | C12P7/18 | C12P7/24,US
C10G15/12 | C10L1/00,US
B01D3/20 | B01D45/00 | B01D45/16 | B01D47/00 | B01D53/18 | B01J8/00 | C01B3/50 | C10L3/10 | F25J3/02,EP
B01J21/08 | B01J23/20 | B01J23/22 | B01J35/00 | B01J37/02 | C07C5/48,US
C04B35/626 | C04B37/00 | C04B35/111 | C04B35/119 | C04B35/486 | C04B35/56 | C04B35/587 | C04B35/632 | C04B35/624 | B28B1/26 | C04B38/00,US
G06F19/00 | G01V9/00 | E21B47/12,US | US
E21B7/24 | E21B31/00,DK
E21B43/267,US
G01V1/50,US
E21B43/267,US
E21B47/12 | G01V9/00 | G06F19/00,US | US
E21B47/00 | G01V3/26 | G01N11/00,US
E21B43/26 | C09K8/64,FR | US
G01N1/30 | G01N33/24 | G01N13/00,US
E21B47/00 | G01V1/40 | G01V1/50,US
F25J3/02,FR
F25J3/02 | F25J1/00 | F25J1/02,EP
E21B23/00 | E21B33/13 | E21B43/00 | C09K8/02,US
C07D305/12 | C07C51/09 | C07C67/30,US
C02F1/56 | C02F1/28 | B01D21/01,JP
C09K8/60 | E21B43/26,US
C10G99/00 | C10J1/20 | C10L1/04,US
C10G50/00 | B01J29/40 | C10L1/04,DE
C08L67/04 | C08G63/06 | C08K3/32 | C08L101/16,JP
E21B21/06 | E21B21/01 | E21B43/26,US
C10G69/14 | B01J29/70 | C07C2/00 | C10G50/00 | C10G50/02,US
E21B23/06 | E21B33/12,US
B01J29/06 | B01J29/40 | B01J29/48 | C01B39/06 | C07C2/76 | B01J37/28 | B01J27/22,US | EP
C07D401/10 | A61K31/4725 | A61K31/496 | A61K31/4985 | A61K31/5377 | A61K31/5383 | A61P35/00 | C07D215/38 | C07D401/12 | C07D401/14 | C07D405/12 | C07D413/10 | C07D413/12 | C07D413/14 | C07D417/12 | C07D417/14 | C07D471/04 | C07D471/08 | C07D487/04 | C07D487/08 | C07D491/08 | C07D498/08,CN | CN
C07C1/20 | C07C2/58 | C07C2/86,US
E21B21/06 | E21B21/01 | E21B43/26,US
G01V3/32 | G06F19/00,US
C07C2/08 | B01J29/00 | C01B31/36 | C01B33/113,CN
G01V1/40 | G06G7/48 | G01V1/28 | G01V1/30,US
G06F19/00 | G01V9/00 | E21B47/12,US | US
C09K8/60 | E21B43/26 | E21B43/267,US
C09K5/18 | C06B33/00 | C06B45/32 | C06C7/00 | C09K8/592 | E21B43/248 | E21B43/263 | C09K8/524 | C09K8/66 | C09K8/70 | C09K8/84,EP
E21B43/11 | E21B43/263,US
C10J3/10 | B01B1/00 | B01J8/18 | B01J8/40 | C01B3/38 | C01B3/44 | C02F11/00 | C02F11/10 | C10J3/54 | C10J3/56 | D21C11/12 | F23C15/00 | F23C10/18 | C10G35/00 | F23G7/04 | F23C11/04,US
E21B47/00 | G01V3/26 | G01N11/00,US
B01D3/20 | B01D45/00 | B01D45/16 | B01D47/00 | B01D53/18 | B01J8/00 | C01B3/50 | C10L3/10 | F25J3/02,EP
B01D53/00 | B01D53/62,AU
H01M8/0612 | H01M8/0662 | H01M8/04014 | H01M8/04302 | H01M8/04746,JP
E21B23/06 | E21B33/12,US
E21B23/00 | C09K8/02 | E21B33/13 | E21B43/00,US
B01D3/20 | C01B3/50 | C10L3/10 | F25J3/02 | B01D53/18 | B01D45/16 | B01D45/00 | B01D47/00 | B01J8/00,EP
B01D3/20 | B01D45/00 | B01D45/16 | B01D47/00 | B01D53/18 | B01J8/00 | C01B3/50 | C10L3/10 | F25J3/02,EP
C12N15/74,PT
E21B7/24 | E21B31/00,DK
E21B21/06,US
E21B43/267 | E21B43/26,US
E21B23/06 | E21B33/12,US
C09K8/24 | C09K8/68 | C09K8/035 | C09K8/70 | C09K8/88 | C09K8/92,US
C07C67/347 | C07C37/00 | C07C37/20 | C07C37/50 | C07C37/62 | C07C39/04 | C07C39/07 | C07C39/11 | C07C39/20 | C07C39/24 | C07C45/69 | C07C49/825 | C07C51/09 | C07C51/353 | C07C63/06 | C07C65/03 | C07C65/10 | C07C67/08 | C07C67/31 | C07C67/317 | C07C69/157 | C07C69/78 | C07C69/84 | C07C213/02 | C07C215/76 | C07C231/02 | C07C235/46 | C07C235/60 | C07C303/28 | C07C309/66 | C07D263/58 | C07D493/08,EP
G01V3/18 | G01V1/28 | G01V1/48 | G01V3/38 | G01V5/04 | G01V8/00 | G06F19/00,US
C09C1/50,US
C09K8/50 | C09K8/516 | C09K8/536 | C09K8/58 | C09K8/92,GB
C02F1/56 | C08L101/00,JP
B01D53/62 | B01D53/00,AU
E21B43/267 | C02F1/68 | C09K8/62 | C09K8/80 | E21B43/26 | F17D3/00 | C02F5/08,US
C10G50/00 | C10G69/12 | C10L1/06 | C10L1/08,DE
C07D305/12 | C07C51/09 | C07C67/30,US
C09K8/62 | C09K8/03,US
E21B43/26 | C09K8/64,FR | US
C09K8/24,US
-,US | WO
C09K8/64 | C09K8/524 | C09K8/66 | E21B43/26 | E21B43/267,US | WO
B01D3/20 | C01B3/50 | C10L3/10 | F25J3/02 | B01D53/18 | B01D45/16 | B01D45/00 | B01D47/00 | B01J8/00,EP
C10G45/58 | C10G65/04,-
H04B7/185,-
B01D3/20 | B01D45/00 | B01D45/16 | B01D47/00 | B01D53/18 | B01J8/00 | C01B3/50 | C10L3/10 | F25J3/02,EP
C08F265/06 | C08J3/075 | C08L51/06 | C08L101/06 | C09K8/035 | C09K8/68 | C10G1/04,US
C07C67/347 | C07C37/00 | C07C37/20 | C07C37/50 | C07C37/62 | C07C39/04,EP
F25J3/02 | F25J1/00 | F25J1/02,EP
H01M8/0612 | H01M8/0662 | H01M8/04014 | H01M8/04302 | H01M8/04746,JP
C10G15/12 | C10L1/00,US
C09C1/50 | C09C1/44 | C09C | C09C1/00,US
C10L1/32,SE
E21B23/00 | C09K8/02 | E21B33/13 | E21B43/00,US
E21B21/06,US
-,US | WO
G01V3/32,US | WO
C07C7/20 | C07C15/04 | B01J23/745 | B01J35/02,US
C02F1/56 | C08L101/00,JP
C10G15/12 | C10L1/00,US
C09K8/60 | E21B43/26 | E21B43/267,US
C10G50/00 | B01J29/70 | C07C2/00 | C07C9/14,US
B01D3/20 | B01D45/00 | B01D45/16 | B01D47/00 | B01D53/18 | B01J8/00 | C01B3/50 | C10L3/10 | F25J3/02,EP
C07C2/08 | B01J29/00 | C01B31/36 | C01B33/113,CN
C10G50/00 | C10G69/12 | C10L1/06 | C10L1/08,DE
-,US | WO
C09K8/524 | C09K8/64 | C09K8/66 | E21B37/06 | E21B43/26 | E21B43/267,US
C10L1/32 | C10L,SE
E21B21/06,US
H04B7/185,-
C02F1/44 | B01D61/00,US
-,DE
E21B43/26 | C09K8/64,FR | US
C10G50/00 | B01J29/40 | C10L1/04,DE
E21B43/11 | E21B43/263,US
F01K23/10 | F22B1/18 | F22B35/00,-
G06F19/00 | G01V9/00 | E21B47/12,US | US
C07C2/58 | C07C5/41 | B01J21/02,US
E21B7/24 | E21B31/00,DK
E21B47/12 | G01V9/00 | G06F19/00,US | US
B01D53/62 | B01D53/00,AU
E21B23/06 | E21B33/12,US
C09K8/80 | E21B43/26 | E21B43/267,-
B01D5/00 | B01D3/10 | B01D3/00 | B01D3/06 | F25J3/02 | F25J1/00 | F25J1/02,EP
B01J21/08 | B01J23/20 | B01J23/22 | B01J35/00 | B01J37/02 | C07C5/48,US
C10G50/00 | C10G69/12 | C10L1/06 | C10L1/08,DE
G06F19/00 | G01V9/00 | E21B47/12,US | US
E21B23/06 | E21B33/12,US
C08L67/04 | C08G63/06 | C08K3/32 | C08L101/16,JP
E21B33/12 | E21B23/06,US
C02F1/56 | C02F1/28 | B01D21/01,JP
C07D305/12 | C07C51/09 | C07C67/30,US
C10L1/32,SE
-,ZA | ZA | ZA
C10G50/00 | B01J29/70 | C07C2/00 | C07C9/14,US
C09K8/64 | C09K8/524 | C09K8/66 | E21B43/26 | E21B43/267,US
G01V3/32,US
C09K8/524 | C09K8/64 | C09K8/66 | E21B37/06 | E21B43/26 | E21B43/267,US
F23D1/00 | F23C99/00,JP | JP
C12N1/21 | C12N9/00 | C12N9/02 | C12N9/88 | C12N15/52 | C12N15/53 | C12N15/60 | C12P7/18 | C12P7/24,US
C02F1/44 | B01D61/00,US
B01D53/22 | B01D63/02 | B01D63/10 | B01D63/12 | B01D65/00,EP
C09K8/50 | C09K8/516 | C09K8/536 | C09K8/58 | C09K8/92,GB
E21B41/00 | E21B43/16 | E21B34/06,US
F23D1/00 | F23C99/00,JP | JP
B01D53/22 | B01D63/02 | B01D63/10 | B01D63/12 | B01D65/00,EP
C10G45/62 | B01J35/00 | B01J35/02 | B01J21/04 | B01J21/12 | B01J23/42 | B01J23/44 | B01J23/46 | B01J29/06 | C10G45/64 | C10G45/70 | C07C15/04 | C07C15/06 | C07C15/08 | B01J23/08 | B01J23/63 | C10G47/18 | C10G47/16 | B01J29/40 | B01J35/10 | C10G35/095 | B01J29/44 | B01J29/87 | B01J23/62,EP
C09K8/60 | E21B43/26 | E21B43/267,US
C02F1/44 | B01D61/00,US
E21B47/10 | C09K8/72 | C09K8/92 | E21B47/11,GB
C07C1/20 | C07C2/58 | C07C2/86,US
C12N1/21 | C12N15/52 | C12N15/53 | C12N15/60 | C12N9/00 | C12N9/02 | C12N9/88 | C12P7/18 | C12P7/24,US
C10G50/00 | B01J29/70 | C07C2/00 | C07C9/14,US
B01D53/52 | C10L3/10,BR
C02F1/44 | B01D61/00,US
C10G15/12 | C10L1/00,US
C07C1/20 | C07C2/58 | C07C2/86,US
G01N21/65 | G01N21/25 | G01J3/44 | G01N1/34 | G01N1/10,US
G01V1/40 | G06G7/48 | G01V1/28 | G01V1/30,US
C08J3/12 | B29B9/06 | B29K29/00,JP
B01J29/06 | B01J29/40 | B01J29/48 | C01B39/06 | C07C2/76 | B01J27/22 | B01J37/28,US | EP
E21B43/26 | C09K8/64,US | FR
C12N15/74,PT
B01J8/26 | B01J8/28 | B01J8/42,US
E21B23/06 | E21B33/12,US
C01B13/02 | C04B35/01 | C04B35/626 | F23C10/00,KR | KR
C12N1/21 | C12N15/52 | C12N15/53 | C12N15/60 | C12N9/00 | C12N9/02 | C12N9/88 | C12P7/18 | C12P7/24,US
B01J29/06 | B01J29/40 | B01J29/48 | C01B39/06 | C07C2/76 | B01J37/28 | B01J27/22,US | EP
E21B7/24,DK
E21B41/00 | E21B34/06 | E21B43/16,US
C12N15/74,PT
C02F1/44 | B01D61/00,US
-,-
H04B11/00 | E21B47/14,US
E21B43/26 | C09K8/64,FR | US
F23D1/00 | F23C99/00 | F23D1/04,JP | JP
C07D401/10 | A61K31/4725 | A61K31/496 | A61K31/4985 | A61K31/5377 | A61K31/5383 | A61P35/00 | C07D215/38 | C07D401/12 | C07D401/14 | C07D405/12 | C07D413/10 | C07D413/12 | C07D413/14 | C07D417/12 | C07D417/14 | C07D471/04 | C07D471/08 | C07D487/04 | C07D487/08 | C07D491/08 | C07D498/08,CN | CN
E21B41/00 | E21B43/16 | E21B34/06,US
G01V1/40 | G06G7/48 | G01V1/28 | G01V1/30,US
C10G | C10L,US
C10G45/62 | B01J35/00 | B01J35/02 | B01J21/04 | B01J21/12 | B01J23/42 | B01J23/44 | B01J23/46 | B01J29/06 | C10G45/64 | C10G45/70 | C07C15/04 | C07C15/06 | C07C15/08 | B01J23/08 | B01J23/63 | C10G47/18 | C10G47/16 | B01J29/40 | B01J35/10 | C10G35/095,EP
C08J3/12 | B29B9/06 | B29K29/00,JP
C10L1/00 | B01J19/08 | F02M27/04 | C10G32/02 | C10L1/04 | F17C11/00,US
E21B43/00,US | US
C10G50/00 | B01J29/70 | C07C2/00 | C07C9/14 | C07C5/333 | C07C2/58 | C07C2/12 | B01J29/44 | B01J29/22 | B01J29/12,US
C25B1/02 | C01B3/02 | C01B32/60 | C25B15/08,US
G01V1/50,US
C07C27/22,US
H04B11/00 | E21B47/14,US
E21B43/11 | E21B43/263,US
-,US
B01J31/16 | C07C1/00 | C07C1/22,US
C07C1/20 | C07C2/58 | C07C2/86,US
F25J3/02 | F25J1/00 | F25J1/02,EP
H04B11/00 | E21B47/14,US
E21B10/66,CN
B01J31/16 | C07C1/00 | C07C1/22,US
C02F1/44 | B01D61/00,US
B01J20/20,US
F25J3/02,FR
C02F9/00 | C02F1/28 | B09C1/00 | C02F1/00 | C02F1/04 | C02F1/24 | C02F1/36 | C02F1/42 | C02F1/44 | C02F1/463 | C02F1/52 | C02F1/76 | C02F1/78 | C02F101/20 | C02F101/22 | C02F101/32 | C02F101/36 | C02F103/36,-
C02F1/32 | C02F1/76 | C02F1/78 | C02F9/00 | B01J20/24,GB
B01J29/70 | B01J35/00 | B01J35/10 | C01B39/02 | C01B39/48 | C10G35/095 | C10G11/05,US
C07C1/20 | C07C2/58 | C07C2/86,US
C10G15/12 | C10L1/00,US
C12N15/74,PT
-,CN
C25B1/02 | C01B3/02 | C01B32/60 | C25B15/08,US
C25B1/02 | C01B32/60 | C01B3/02 | C25B15/08,US
C12M1/00 | C12N1/20 | C12P7/06,JP
C07D305/12 | C07C51/09 | C07C67/30,US
E21B43/12 | E21B34/06,US | US
E21B4/02,CN
C10G45/62 | B01J35/00 | B01J35/02 | B01J21/04 | B01J21/12 | B01J23/42 | B01J23/44 | B01J23/46 | B01J29/06 | C10G45/64 | C10G45/70 | C07C15/04 | C07C15/06 | C07C15/08 | B01J23/08 | B01J23/63 | C10G47/18 | C10G47/16 | B01J29/40 | B01J35/10 | C10G35/095,EP
C09K8/64 | E21B43/26 | B01F3/08,FR
C25B1/02 | C01B3/02 | C01B32/60 | C25B15/08,US
B01J23/89 | B01J23/00 | C07C29/157,-
E21B47/00 | G01V1/40 | G01V1/50,US
B01D19/00 | B01D63/02 | B01D61/00 | B01D61/58,JP
B01D19/00 | B01D61/00 | B01D61/58 | B01D63/02,JP
C08F265/06 | C08J3/075 | C08L51/06 | C08L101/06 | C09K8/035 | C09K8/68 | C10G1/04,US
B01J20/20,US
B01J29/70 | C01B39/02 | C01B39/48 | C10G11/05 | C10G35/095 | B01J35/00 | B01J35/10,US
H04B11/00 | E21B47/14,US
B01D19/00 | B01D61/00 | B01D61/58 | B01D63/02,JP
C12N1/21 | C12N15/52 | C12N15/53 | C12N15/60 | C12N9/00 | C12N9/02 | C12N9/88 | C12P7/18 | C12P7/24,US
C12M1/00 | C12N1/20 | C12P7/06,JP
C07C5/13 | C07C5/25 | C07C6/04 | C07C11/08 | C07C11/06,US
B01J29/70 | B01J35/00 | B01J35/10 | C01B39/02 | C01B39/48 | C10G35/095 | C10G11/05,US
C25B1/02 | C01B3/02 | C01B32/60 | C25B15/08,US
B01D19/00 | B01D61/00 | B01D61/58 | B01D63/02,JP
C02F1/44 | B01D61/00,US
B01J20/20,US
B01D | C02F,US
H02J,ZA | ZA | ZA
E21B,US
C10G | C10L,US
C02F1/44 | B01D61/00,US
H04B11/00 | E21B47/14,US
B01D19/00 | B01D61/00 | B01D61/58 | B01D63/02,JP
B01J12/00 | B01J19/00,US | US | US | US
B01J12/00 | B01J19/00,US | US | US | US
C01B3/36 | C01B3/38 | C01B3/50 | C01B3/02,US | US | US | US
C01B3/38 | B01J37/12 | C01B3/36 | C10L3/08,US | US | US | US
E21B4/02,CN
E21B43/26 | E21B43/38 | E21B43/20 | E21B21/06 | E21B47/002,US | US
B01D53/02 | C07C29/152 | C10G5/06,US | WO | WO
C07C2/08 | B01J29/00 | C01B33/113,CN
E21B41/00 | G01V99/00 | E21B43/25 | E21B43/16,US
B01D53/22 | B01D63/02 | B01D63/10 | B01D63/12 | B01D65/00,EP
C07C5/13 | C07C5/25 | C07C6/04 | C07C11/08 | C07C11/06,US
B29B9/12 | B29B9/06,JP
C01B13/02 | C04B35/01 | C04B35/626 | F23C10/00,KR | KR
C07C1/20 | C07C2/58 | C07C2/86,US
C01B3/38 | B01J37/12 | C01B3/36 | C10L3/08,US | US | US | US
C01B3/36 | C01B3/38 | C01B3/50 | C01B3/02,US | US | US | US
C01B3/38 | B01J37/12 | C01B3/36 | C10L3/08,US | US | US | US
C01B3/36 | C01B3/38 | C01B3/50 | C01B3/02,US | US | US | US
H04L67/125 | H04L67/562,US
H04L67/025 | H04L67/12 | H04L67/00 | H04L67/562,US
C12P7/62 | C12N9/02 | C12N15/00,-
C12P7/40 | C07C69/54 | C08F220/06 | C12N9/02 | C12N9/10 | C12P7/62,GB
C12N9/98,US
G01V1/40 | G01V1/30,US | US
C10L3/10 | C10L3/12,US | US
G01V1/28 | G01V1/30 | G01V1/40,US | US
C08J3/28 | C08J11/04,US
G01V1/40 | G01V1/30,US | US
G06F19/00 | G01V9/00 | E21B47/00 | E21B43/267,US
E21B49/00 | E21B49/08 | E21B47/00,US
G01V1/40 | G01V1/30,US | US
E21B43/26 | E21B43/247,US
E21B43/22 | E21B43/16,US
B01D53/14 | B01D53/52 | B01D53/62,US
C08J3/28 | C08J11/04,US
G01N21/78 | G01N31/22 | G01N33/18,US
G01N15/14 | G01N21/53 | G01N21/94 | G01N21/21,GB
G01V1/28 | G01V1/30 | G01V1/40,US | US
G01V1/30,US | US
D01F8/14 | D01F8/10 | C09K8/035 | C09K8/516,JP
E21B49/00 | E21B47/12 | E21B49/08 | E21B47/06,-
B01D53/14 | B01D53/52 | B01D53/62 | B01D53/02 | C07C7/10,US
C10L3/10 | C10L3/12,US | US
C10C3/00 | C10J3/00 | C10J3/72 | C10G1/04,US | US | WO | US | US | US | WO | US
C08J3/28 | C08J11/04,US
E21B17/00 | E21B47/12 | H02J3/00,US
C08J3/28 | C08J11/04,US
B01D53/02 | B01D53/14 | C07C7/10,US
G01V1/28 | G01V1/30 | G01V1/40,US | US
E21B43/267 | E21B43/26,US
C10G49/00 | C01B3/34 | C10G2/00 | C10L3/10,US | US | US | US
B01D63/00,US
C08J11/04 | C08J3/28,US
E21B47/00 | E21B43/24 | E21B36/02 | E21B,US
G01N37/00 | G01W1/00 | G08B21/12,-
C10G2/00 | C01B3/34 | C10L3/10 | C10G49/00,US | US | US | US
G01V1/28 | G01V1/30 | G01V1/40,US | US
E21B43/26 | E21B47/00 | G01V9/00 | G06F19/00,US
C08J3/28 | C08J11/04,US
C10L3/10,US | US
C10L3/10,US | US
B01D53/02 | B01D53/14 | C07C7/10,US
C08J11/04 | C08J3/28,US
C09K8/588 | C09K8/594 | C09K8/64 | E21B43/16 | E21B43/267,US
C10G45/58 | C10G65/04,-
B01D53/02 | B01D53/14 | C07C7/10,US
G01V1/28 | G01V1/40 | G01V1/30,US | US
C08J3/28 | C08J11/04,US
C10L3/10 | C10L3/12,US | US
E21B43/24 | G16Z99/00,-
H01M8/06 | H01M8/04 | H01M8/12,JP
C09K8/80 | C12Q1/68 | E21B47/10 | C09K8/03,GB
E21B43/26 | E21B43/267,US
E21B43/22 | E21B43/16,US
E21B43/26 | E21B43/267,US
C10G1/04 | E21B43/16,-
H01M8/06 | H01M8/04 | H01M8/12,JP
E21B43/263 | E21B43/117,US
E21B49/08 | E21B47/06 | E21B49/00 | E21B47/12,-
C08J3/28 | C08J11/04,US
C12N9/98,US
E21B43/24 | G16Z99/00,-
E21B43/24 | E21B | E21B36/02 | E21B47/00,US
E21B49/08 | E21B47/06 | E21B49/00 | E21B47/12,-
C09K8/60 | C09K8/62 | C09K8/584,CA
C09K8/80 | E21B43/267,US
E21B43/119,US
B01J19/10 | C07C11/24 | F23M5/00 | F23R3/00,US | US
C08J11/04 | C08J3/28,US
G01V1/30,US | US
G01V1/28 | G01V1/30 | G01V1/40,US | US
C08J3/28 | C08J11/04,US
G01V1/28 | G01V1/40 | G01V1/30,US | US
E21B43/22 | C09K8/58,US
