IPC
E21B43/26
E21B43/26 | F23Q3/00 | E21B36/04 | E21B43/00
B01D63/06 | B01D29/52
C09K8/68 | C09K8/80 | C08F20/58 | C07C309/15 | E21B43/26
E21B43/26 | C07C309/15 | C08F20/58 | C09K8/68 | C09K8/80 | C09K8/588 | E21B43/16 | C02F11/147 | C02F1/56 | C02F103/10
G01N15/08
E21B43/26 | E21B36/04 | E21B43/00
E21B49/08
E21B49/08
E21C41/00 | G06Q50/02
C08L33/26 | C08F2/22 | C08F2/24 | C08F2/32 | C09K8/03 | C09K8/60 | C09K8/88
G01V99/00
G01V99/00
G01V9/00
-
C09K8/62 | E21B43/27
G01V99/00
G01V9/00 | G01V1/30
G01V99/00
G01V9/00 | G01V1/30
E21B41/00 | G06F17/50 | G06F9/455
E21B41/00 | G06F17/50 | G06F9/455
E21B41/00 | G06F17/50 | G06F9/455
G06Q10/04 | G06Q50/02
G01V9/00 | G01V1/30
C07C309/15
C09K8/68 | C09K8/80 | E21B43/26 | E21B43/267 | C07C309/15
C07C309/15
C09K8/68 | C09K8/80 | E21B43/26 | E21B43/267
-
G01N15/08 | G01N1/22 | G01N33/24
C10K3/04 | C10G45/00 | C10G47/00 | C10J3/46 | C10K3/06 | C10K1/00 | C10K1/10 | C10K1/34 | C10K1/20 | C10G2/00 | C10J3/48
C07C27/00 | C10G2/00 | C10J3/46 | C10L9/08 | B01J20/06 | B01J20/18 | B01J20/20 | C10G45/00 | C10K3/06 | C10K1/34 | C10K1/20 | C10K1/10 | C10J3/00 | C10K1/00 | C10K3/04 | C10G47/00 | C10J3/48
G01T1/24 | G01T1/17
G01T1/24 | G01T1/17
F02C3/34 | F23R3/20
B02C23/18 | B01F7/00 | E21B43/26 | E21B21/06 | B01F13/00 | B01F15/02 | B01F3/12
E21B43/26 | B02C23/18
F23R3/20 | F02C3/34 | F23D14/20 | F23R3/18
F23C10/18 | F23C10/00
F23C10/01 | F23C10/02 | F23C10/08 | F23C10/20 | F23C13/00
F23C10/01 | F23C10/02 | F23C10/08 | F23C10/20 | F23C13/00
E21B49/08 | E21B47/06
F25J3/02
G01V1/28
F25J3/02
G01V1/28 | G01V99/00
G06F17/50 | G06F17/10
F25J3/02
G06F17/10 | G06F17/50 | E21B47/10
G06F17/10
G01N15/08 | G06F17/10 | G01V99/00 | G01V1/28 | G01V11/00
C09K8/62 | C09K8/80 | E21B43/34 | E21B43/26 | E21B43/267
F25J3/02
G01V99/00
G01V99/00
C10G9/36 | C10G65/12 | C10G69/06 | F25J3/02
G06F30/28 | G01N33/24 | G01N15/10 | G01N15/08
C10G65/12 | C07C2/76 | C07C5/327 | F25J3/02 | C10G9/36 | C10G69/06
C09K8/62 | C09K8/80 | E21B43/34 | E21B43/26 | E21B43/267
C10G65/12 | C10G45/38 | C10G45/52 | C10G45/54
C10G49/24 | C10L1/08 | C10G2/00 | C10G45/54 | C10G45/52 | C10G45/38 | C10G65/12 | B01J23/883 | C10G45/08 | C10G47/18 | B01J23/42 | C10G45/64 | C10G45/62 | B01J37/18 | B01J21/12
G01N30/86 | G01N30/14 | G01N30/72
F25J3/02
B01D63/06 | B01D61/02 | B01D61/14
F25J3/02
B01D71/02 | B01D46/00 | B01D39/20
B01D71/02 | B01D39/20 | B01D69/04 | B01D63/06 | B01D46/00
E21B43/26 | E21B41/00
E21B43/26 | E21B41/00
C07C303/04 | C07C309/20 | C02F1/56 | C08F28/02 | C09K8/12 | C09K8/588 | C09K8/68 | C09K8/88 | C09D11/106 | A61K8/81 | A61Q19/00 | D21H17/02 | D06P1/44 | D06P1/52 | A61K9/00 | A61K47/32 | C04B24/16 | C04B103/46 | C09D11/107 | C09K8/035 | C09K8/42 | C09K8/467 | C09K8/487 | D21H17/11
C07C303/04 | C09D11/106 | C09D11/107 | A61K8/81 | C02F1/56 | C04B24/16 | C07C309/20 | C08F28/02 | C09K8/035 | C09K8/12 | C09K8/467 | C09K8/487 | C09K8/588 | C09K8/68 | C09K8/88 | D06P1/52 | D21H17/02 | D21H17/11
E21C41/00 | G06Q50/02
G01V1/28 | G01V1/48
G01V1/28 | G01V1/48
G01V1/28 | G01V1/48
G01V99/00
C07C209/00 | C07C211/63 | C02F1/56 | C08F226/04 | C09K8/12 | C09K8/44 | C09K8/588 | C09K8/68 | C09K8/88 | E21B21/06 | C09D11/106 | A61K8/81 | A61Q19/00 | D06P1/44 | D06P1/52 | D21H17/45 | C02F1/28 | C02F103/10 | C02F103/36 | C09K8/035 | D21H17/02 | D21H17/11
A61K8/81 | C09D11/106 | C02F1/56 | C07C211/63 | C08F226/04 | C09K8/035 | C09K8/12 | C09K8/44 | C09K8/588 | C09K8/68 | C09K8/88 | D06P1/52 | D21H17/02 | D21H17/11 | D21H17/45 | E21B21/06
C08L33/26 | C08F2/22 | C08F2/24 | C09K8/03 | C09K8/88
E21B43/26 | C09K8/64
E21B43/26 | C09K8/64
F25J3/02
E21B43/26 | C09K8/64
E21B43/26 | C09K8/64
E21B43/26 | C09K8/64
E21B43/26 | C09K8/64
F25J3/02
C09K8/64 | E21B43/26 | B01F3/08
G01V1/30 | G01V1/24 | G01V1/22
G01V1/30 | G01V1/22 | G01V1/24
G01V1/30 | G01V1/24 | G01V1/22
G01V1/30 | G01V1/24 | G01V1/22
C09K8/68 | E21B43/26 | E21B43/40 | C09K8/80 | C09K8/64
C09K8/68 | E21B43/26 | C09K8/64
C09K8/68 | E21B43/26 | C09K8/64
C09K8/68 | C09K8/64 | E21B43/26
C09K8/68 | C09K8/64 | E21B43/26
C09K8/68 | E21B43/26 | E21B43/40 | C09K8/80
C09K8/68 | E21B43/26 | C09K8/64
C12P7/40 | C12P13/02 | C07C51/08 | C07C57/04 | C07C231/06 | C07C233/09 | C08F20/06 | C08F20/56
C12P7/40 | C12P13/02 | C07C51/08 | C07C57/04 | C07C231/06 | C07C233/09 | C08F20/06 | C08F20/56
C12P7/40 | C07C51/08 | C07C57/04 | C07C231/06 | C07C233/09 | C08F20/06 | C08F20/56 | C12P13/02
C07C51/08 | C07C57/04 | C07C231/06 | C07C233/09 | C08F20/06 | C08F20/56 | C12P7/40 | C12P13/02
C07C233/03 | C07C231/08
C07C231/02 | C07C233/09 | C02F1/56 | C08F20/56 | C09K8/12 | C09K8/44 | C09K8/588 | C09K8/68 | C09K8/88 | E21B21/06 | C09D11/107 | A61K8/81 | A61Q19/00 | D21H17/37 | D06P1/44 | D06P1/52 | C02F1/28 | C08F220/56 | D21H17/02 | C02F11/147
C08G73/02
C07C233/03 | C07C231/08
C08G73/02
C07C231/02 | C09D11/107 | C02F11/147 | A61K8/81 | C02F1/56 | C07C233/09 | C08F20/56 | C08F220/56 | C09K8/12 | C09K8/44 | C09K8/588 | C09K8/68 | C09K8/88 | D06P1/52 | D21H17/02 | D21H17/37 | E21B21/06
C07C233/03 | C07C231/08
C08G73/02
C07C233/03 | C07C231/08
F25J3/02
F25J3/02
-
-
-
B01D53/00 | B01D53/64
-
-
B01D53/40 | B01D53/64 | B01D53/75 | C22B43/00
C07C319/02 | C07C319/24
C07C319/02 | C07C319/24
C07C319/02 | C07C319/24 | C07C321/04
C09K8/68 | C09K8/88 | C09K8/80
C09K8/68 | C09K8/88 | C09K8/80
C07C319/02 | C07C319/24 | C07C321/04
C07C319/02 | C07C319/24 | C07C321/04 | C07C321/14
C07C319/02 | C07C319/24 | C07C321/04 | C07C321/14
A61K8/06 | C09K8/36 | C02F1/68 | C09K8/588 | C08F220/60
C09K8/36 | A61K9/107 | C08G18/79 | B01D17/04 | C08G18/69
G01V99/00
G01V99/00
C07C309/15
E21B49/08
C10G2/00 | C10J3/00 | C10K1/00 | C10K1/10 | C10K1/20 | C10K1/34 | C10K3/04 | C10K3/06
C10K1/00 | C10J3/00 | C10K1/10
F23R3/20 | F23D14/20
F23R3/20 | F23D14/20
G01V99/00
G01V99/00
G01V99/00
F25J3/02
F25J3/02
C09K8/68 | E21B43/26 | C09K8/64
C09K8/68
C12P7/40 | C12P13/02 | C07C51/08 | C07C57/04 | C07C231/06
C12P7/40 | C07C51/08 | C07C57/04 | C07C231/06 | C07C233/09 | C08F20/06 | C08F20/56 | C08F220/56 | C12P13/02
C07C233/03 | C07C231/08
C07C233/03 | C07C231/08
C08G73/02 | C08G
C07C233/03 | C07C231/08
C08G73/02
B01D63/06 | B01D71/02 | B01D69/04
B01D63/06 | B01D71/02 | B01D69/04
E21B43/26
E21B43/26
E21B43/26
E21B43/26
E21B43/26 | E21B36/04 | E21B43/00
E21B43/26 | E21B36/04 | E21B43/00
E21B43/26 | E21B43/00 | E21B36/04
E21B43/26 | E21B36/04 | E21B43/00
E21B43/26 | E21B43/00 | E21B36/04
E21B43/26 | E21B36/04 | E21B43/00
E21B43/26
C09K8/582 | E21B43/25 | C12N1/28 | C09K8/60 | C12P5/02 | C12N1/38 | E21B43/22
C09K8/582 | C12P39/00 | E21B43/25 | C12N1/28 | C09K8/60 | C12P5/02 | C12N1/38 | E21B43/22
E21B43/22 | C09K8/60 | C12N1/28 | E21B43/25 | C09K8/582 | C12N1/38 | C12P5/02
C08L33/26 | C08F2/22 | C08F2/24 | C08F2/32 | C09K8/03 | C09K8/60 | C09K8/88
G01N15/08 | G01N1/22 | G01N33/24
G01N15/08
C08L33/26 | C08F2/22 | C08F2/24 | C08F2/32 | C09K8/03 | C09K8/60 | C09K8/88
C08L33/26 | C08F2/22 | C08F2/24 | C08F2/32 | C09K8/03 | C09K8/60 | C09K8/88
C08L33/26
C08L33/26
C08L33/26
C08L33/26
C08L33/26
C08L33/26
C08L33/26
E21B43/16 | E21B43/26 | E21B43/40
G01V11/00
G01V11/00
G01V11/00
G01V11/00
G01V11/00
E21B41/00 | G01V99/00
E21B41/00 | G01V99/00
E21B41/00 | G01V99/00
G01V99/00
G01V99/00
G01V99/00
C07C309/15
C07C309/15
C07C309/15
C07C309/15
G01V99/00
G01V99/00
C07C309/15
E21B47/10
E21B47/10 | G06F17/10 | G06F17/50
G06F17/10 | G06F17/50 | E21B47/10
E21B47/10
G06F17/10 | E21B47/10 | G06F30/00
G06F17/10 | E21B47/10 | G06F17/50
G06F17/10 | G06F17/50 | E21B47/10
G06F17/10
C09K8/68 | C09K8/88
C09K8/68 | C09K8/88 | C09K8/80
C09K8/68 | C09K8/88 | C09K8/80
C09K8/68 | C09K8/88 | C09K8/80
C09K8/68
