f,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,core_number,closeness_centrality
16,0.005467372134038801,0.010758377425044091,0.004056437389770723,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
17,0.005467372134038801,0.014814814814814815,0.004056437389770723,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
18,0.005467372134038801,0.014109347442680775,0.004056437389770723,0.0038800705467372134,0.0038800705467372134,0.0049382716049382715
19,0.005291005291005291,0.010052910052910053,0.004409171075837742,0.005291005291005291,0.004232804232804233,0.0049382716049382715
20,0.008641975308641974,0.010052910052910053,0.004409171075837742,0.0038800705467372134,0.004409171075837742,0.0049382716049382715
21,0.008641975308641974,0.010052910052910053,0.004409171075837742,0.0038800705467372134,0.004409171075837742,0.0049382716049382715
22,0.008641975308641974,0.010052910052910053,0.014991181657848324,0.007936507936507936,0.004409171075837742,0.014285714285714285
23,0.015167548500881834,0.01675485008818342,0.0068783068783068784,0.007054673721340388,0.010582010582010581,0.013403880070546737
24,0.03209876543209877,0.014814814814814815,0.0068783068783068784,0.007054673721340388,0.010582010582010581,0.013403880070546737
25,0.019400352733686066,0.0945326278659612,0.0068783068783068784,0.007054673721340388,0.010582010582010581,0.013403880070546737
26,0.01746031746031746,0.0472663139329806,0.005467372134038801,0.007054673721340388,0.010582010582010581,0.013403880070546737
27,0.030864197530864196,0.030864197530864196,0.0051146384479717815,0.007054673721340388,0.010582010582010581,0.013403880070546737
28,0.029982363315696647,0.018871252204585538,0.013756613756613757,0.006525573192239859,0.010582010582010581,0.012874779541446208
29,0.02962962962962963,0.015167548500881834,0.013756613756613757,0.005467372134038801,0.010582010582010581,0.012874779541446208
30,0.027513227513227514,0.012874779541446208,0.013756613756613757,0.005467372134038801,0.010582010582010581,0.012874779541446208
31,0.02204585537918871,0.007936507936507936,0.015167548500881834,0.01164021164021164,0.010405643738977073,0.012874779541446208
32,0.020987654320987655,0.007583774250440917,0.015167548500881834,0.011287477954144622,0.010405643738977073,0.012522045855379188
33,0.020987654320987655,0.007583774250440917,0.023809523809523808,0.04038800705467372,0.0068783068783068784,0.012522045855379188
34,0.0164021164021164,0.007583774250440917,0.022574955908289243,0.015167548500881834,0.023809523809523808,0.012522045855379188
35,0.014109347442680775,0.00582010582010582,0.014814814814814815,0.015167548500881834,0.014638447971781305,0.012522045855379188
36,0.010052910052910053,0.0049382716049382715,0.012874779541446208,0.009700176366843033,0.010934744268077601,0.012522045855379188
37,0.009876543209876543,0.004585537918871252,0.012345679012345678,0.016578483245149912,0.010934744268077601,0.01216931216931217
38,0.008289241622574956,0.004056437389770723,0.012345679012345678,0.016578483245149912,0.010405643738977073,0.01216931216931217
39,0.00582010582010582,0.004056437389770723,0.012874779541446208,0.016578483245149912,0.010405643738977073,0.01216931216931217
40,0.004761904761904762,0.0038800705467372134,0.012345679012345678,0.016225749559082892,0.02204585537918871,0.01199294532627866
